,trial,scale_factor,expectation
0,0,1.0,0.7749
1,0,1.5,0.652
2,0,2.0,0.6409
3,0,2.5,0.6729
4,0,3.0,0.6382
5,0,3.5,0.5975
6,0,4.0,0.5201
7,0,4.5,0.3454
8,0,5.0,0.4379
9,0,5.5,0.4003
10,0,6.0,0.3484
11,1,1.0,0.8228
12,1,1.5,0.7555
13,1,2.0,0.7618
14,1,2.5,0.6501
15,1,3.0,0.676
16,1,3.5,0.4957
17,1,4.0,0.5254
18,1,4.5,0.5046
19,1,5.0,0.3456
20,1,5.5,0.4402
21,1,6.0,0.3586
22,2,1.0,0.745
23,2,1.5,0.4304
24,2,2.0,0.6069
25,2,2.5,0.4319
26,2,3.0,0.4154
27,2,3.5,0.3747
28,2,4.0,0.2615
29,2,4.5,0.2014
30,2,5.0,0.1977
31,2,5.5,0.2025
32,2,6.0,0.2236
33,3,1.0,0.7958
34,3,1.5,0.6423
35,3,2.0,0.5527
36,3,2.5,0.4735
37,3,3.0,0.5621
38,3,3.5,0.4509
39,3,4.0,0.3394
40,3,4.5,0.3465
41,3,5.0,0.3831
42,3,5.5,0.2472
43,3,6.0,0.2443
44,4,1.0,0.7852
45,4,1.5,0.7129
46,4,2.0,0.5593
47,4,2.5,0.5359
48,4,3.0,0.503
49,4,3.5,0.3736
50,4,4.0,0.3786
51,4,4.5,0.3144
52,4,5.0,0.2901
53,4,5.5,0.2379
54,4,6.0,0.2527
55,5,1.0,0.7425
56,5,1.5,0.4447
57,5,2.0,0.507
58,5,2.5,0.163
59,5,3.0,0.2208
60,5,3.5,0.1578
61,5,4.0,0.2302
62,5,4.5,0.1654
63,5,5.0,0.1665
64,5,5.5,0.1668
65,5,6.0,0.2242
66,6,1.0,0.814
67,6,1.5,0.7074
68,6,2.0,0.6529
69,6,2.5,0.5829
70,6,3.0,0.5584
71,6,3.5,0.4822
72,6,4.0,0.4237
73,6,4.5,0.416
74,6,5.0,0.4057
75,6,5.5,0.2754
76,6,6.0,0.3477
77,7,1.0,0.8423
78,7,1.5,0.8157
79,7,2.0,0.7245
80,7,2.5,0.678
81,7,3.0,0.6651
82,7,3.5,0.6325
83,7,4.0,0.5595
84,7,4.5,0.5681
85,7,5.0,0.3855
86,7,5.5,0.3644
87,7,6.0,0.4096
88,8,1.0,0.7395
89,8,1.5,0.4397
90,8,2.0,0.5322
91,8,2.5,0.3828
92,8,3.0,0.2706
93,8,3.5,0.1526
94,8,4.0,0.2603
95,8,4.5,0.1849
96,8,5.0,0.1595
97,8,5.5,0.1634
98,8,6.0,0.1974
99,9,1.0,0.7693
100,9,1.5,0.7335
101,9,2.0,0.3221
102,9,2.5,0.4539
103,9,3.0,0.3225
104,9,3.5,0.3576
105,9,4.0,0.345
106,9,4.5,0.194
107,9,5.0,0.2337
108,9,5.5,0.2142
109,9,6.0,0.2051
110,10,1.0,0.7918
111,10,1.5,0.6317
112,10,2.0,0.653
113,10,2.5,0.5794
114,10,3.0,0.4086
115,10,3.5,0.3671
116,10,4.0,0.3294
117,10,4.5,0.2621
118,10,5.0,0.227
119,10,5.5,0.1976
120,10,6.0,0.1947
121,11,1.0,0.8157
122,11,1.5,0.6982
123,11,2.0,0.6532
124,11,2.5,0.5828
125,11,3.0,0.6428
126,11,3.5,0.5688
127,11,4.0,0.5173
128,11,4.5,0.5185
129,11,5.0,0.5419
130,11,5.5,0.5082
131,11,6.0,0.445
132,12,1.0,0.7671
133,12,1.5,0.722
134,12,2.0,0.6664
135,12,2.5,0.5074
136,12,3.0,0.5083
137,12,3.5,0.3984
138,12,4.0,0.4213
139,12,4.5,0.3411
140,12,5.0,0.32
141,12,5.5,0.3151
142,12,6.0,0.2545
143,13,1.0,0.8029
144,13,1.5,0.6823
145,13,2.0,0.6402
146,13,2.5,0.6182
147,13,3.0,0.5621
148,13,3.5,0.5373
149,13,4.0,0.5084
150,13,4.5,0.4384
151,13,5.0,0.3464
152,13,5.5,0.2993
153,13,6.0,0.2929
154,14,1.0,0.8151
155,14,1.5,0.7154
156,14,2.0,0.7068
157,14,2.5,0.6573
158,14,3.0,0.6235
159,14,3.5,0.5895
160,14,4.0,0.5087
161,14,4.5,0.6157
162,14,5.0,0.4028
163,14,5.5,0.4575
164,14,6.0,0.472
165,15,1.0,0.8124
166,15,1.5,0.6894
167,15,2.0,0.6473
168,15,2.5,0.6242
169,15,3.0,0.5999
170,15,3.5,0.5306
171,15,4.0,0.4802
172,15,4.5,0.4623
173,15,5.0,0.5601
174,15,5.5,0.4865
175,15,6.0,0.3411
176,16,1.0,0.8292
177,16,1.5,0.7429
178,16,2.0,0.8011
179,16,2.5,0.6618
180,16,3.0,0.6607
181,16,3.5,0.6466
182,16,4.0,0.4965
183,16,4.5,0.4623
184,16,5.0,0.4854
185,16,5.5,0.4322
186,16,6.0,0.3746
187,17,1.0,0.7934
188,17,1.5,0.6746
189,17,2.0,0.5384
190,17,2.5,0.5666
191,17,3.0,0.4928
192,17,3.5,0.4678
193,17,4.0,0.3658
194,17,4.5,0.4013
195,17,5.0,0.323
196,17,5.5,0.3681
197,17,6.0,0.2886
198,18,1.0,0.8093
199,18,1.5,0.7931
200,18,2.0,0.5415
201,18,2.5,0.6142
202,18,3.0,0.5424
203,18,3.5,0.4932
204,18,4.0,0.4468
205,18,4.5,0.4154
206,18,5.0,0.3432
207,18,5.5,0.2648
208,18,6.0,0.2661
209,19,1.0,0.819
210,19,1.5,0.8157
211,19,2.0,0.7389
212,19,2.5,0.6605
213,19,3.0,0.6436
214,19,3.5,0.5048
215,19,4.0,0.5384
216,19,4.5,0.5639
217,19,5.0,0.4596
218,19,5.5,0.4757
219,19,6.0,0.3336
220,20,1.0,0.7827
221,20,1.5,0.6552
222,20,2.0,0.5454
223,20,2.5,0.5286
224,20,3.0,0.4879
225,20,3.5,0.4618
226,20,4.0,0.4546
227,20,4.5,0.4306
228,20,5.0,0.4069
229,20,5.5,0.4097
230,20,6.0,0.3689
231,21,1.0,0.8272
232,21,1.5,0.7327
233,21,2.0,0.7551
234,21,2.5,0.626
235,21,3.0,0.6229
236,21,3.5,0.545
237,21,4.0,0.5706
238,21,4.5,0.4967
239,21,5.0,0.452
240,21,5.5,0.5047
241,21,6.0,0.4444
242,22,1.0,0.6751
243,22,1.5,0.6241
244,22,2.0,0.4012
245,22,2.5,0.3644
246,22,3.0,0.3712
247,22,3.5,0.356
248,22,4.0,0.3609
249,22,4.5,0.3471
250,22,5.0,0.3424
251,22,5.5,0.3366
252,22,6.0,0.3319
253,23,1.0,0.7123
254,23,1.5,0.4795
255,23,2.0,0.4482
256,23,2.5,0.5193
257,23,3.0,0.5016
258,23,3.5,0.4087
259,23,4.0,0.3085
260,23,4.5,0.3775
261,23,5.0,0.402
262,23,5.5,0.3378
263,23,6.0,0.3524
264,24,1.0,0.7834
265,24,1.5,0.7104
266,24,2.0,0.6885
267,24,2.5,0.546
268,24,3.0,0.5004
269,24,3.5,0.5035
270,24,4.0,0.4317
271,24,4.5,0.466
272,24,5.0,0.3772
273,24,5.5,0.36
274,24,6.0,0.4009
275,25,1.0,0.6123
276,25,1.5,0.5298
277,25,2.0,0.3903
278,25,2.5,0.4581
279,25,3.0,0.436
280,25,3.5,0.2452
281,25,4.0,0.1923
282,25,4.5,0.199
283,25,5.0,0.203
284,25,5.5,0.2087
285,25,6.0,0.2294
286,26,1.0,0.6693
287,26,1.5,0.663
288,26,2.0,0.3821
289,26,2.5,0.3869
290,26,3.0,0.2937
291,26,3.5,0.2616
292,26,4.0,0.2763
293,26,4.5,0.2823
294,26,5.0,0.2355
295,26,5.5,0.2269
296,26,6.0,0.2175
297,27,1.0,0.6557
298,27,1.5,0.5327
299,27,2.0,0.5483
300,27,2.5,0.5109
301,27,3.0,0.4329
302,27,3.5,0.4322
303,27,4.0,0.5003
304,27,4.5,0.6497
305,27,5.0,0.5029
306,27,5.5,0.3332
307,27,6.0,0.3286
308,28,1.0,0.7529
309,28,1.5,0.6115
310,28,2.0,0.5445
311,28,2.5,0.3808
312,28,3.0,0.4123
313,28,3.5,0.3308
314,28,4.0,0.279
315,28,4.5,0.2761
316,28,5.0,0.2283
317,28,5.5,0.2069
318,28,6.0,0.201
319,29,1.0,0.7787
320,29,1.5,0.6354
321,29,2.0,0.6143
322,29,2.5,0.5214
323,29,3.0,0.4607
324,29,3.5,0.4866
325,29,4.0,0.3502
326,29,4.5,0.3298
327,29,5.0,0.3453
328,29,5.5,0.2357
329,29,6.0,0.2561
330,30,1.0,0.7953
331,30,1.5,0.7841
332,30,2.0,0.6191
333,30,2.5,0.5646
334,30,3.0,0.5438
335,30,3.5,0.4108
336,30,4.0,0.3565
337,30,4.5,0.3658
338,30,5.0,0.3901
339,30,5.5,0.2892
340,30,6.0,0.2706
341,31,1.0,0.8196
342,31,1.5,0.7044
343,31,2.0,0.6319
344,31,2.5,0.6952
345,31,3.0,0.6778
346,31,3.5,0.6113
347,31,4.0,0.568
348,31,4.5,0.5792
349,31,5.0,0.4461
350,31,5.5,0.3636
351,31,6.0,0.312
352,32,1.0,0.7833
353,32,1.5,0.6841
354,32,2.0,0.5464
355,32,2.5,0.5054
356,32,3.0,0.5084
357,32,3.5,0.4193
358,32,4.0,0.3486
359,32,4.5,0.29
360,32,5.0,0.2874
361,32,5.5,0.259
362,32,6.0,0.2151
363,33,1.0,0.7477
364,33,1.5,0.5838
365,33,2.0,0.5984
366,33,2.5,0.4895
367,33,3.0,0.4442
368,33,3.5,0.4611
369,33,4.0,0.336
370,33,4.5,0.2618
371,33,5.0,0.2846
372,33,5.5,0.2608
373,33,6.0,0.2224
374,34,1.0,0.7797
375,34,1.5,0.4886
376,34,2.0,0.5753
377,34,2.5,0.5742
378,34,3.0,0.4505
379,34,3.5,0.3858
380,34,4.0,0.3968
381,34,4.5,0.328
382,34,5.0,0.2646
383,34,5.5,0.3261
384,34,6.0,0.2379
385,35,1.0,0.8094
386,35,1.5,0.7853
387,35,2.0,0.6495
388,35,2.5,0.6397
389,35,3.0,0.5517
390,35,3.5,0.4962
391,35,4.0,0.4308
392,35,4.5,0.382
393,35,5.0,0.3414
394,35,5.5,0.2376
395,35,6.0,0.242
396,36,1.0,0.7801
397,36,1.5,0.4813
398,36,2.0,0.5342
399,36,2.5,0.4928
400,36,3.0,0.5143
401,36,3.5,0.496
402,36,4.0,0.3747
403,36,4.5,0.4251
404,36,5.0,0.3209
405,36,5.5,0.2541
406,36,6.0,0.1778
407,37,1.0,0.7431
408,37,1.5,0.6251
409,37,2.0,0.4352
410,37,2.5,0.5471
411,37,3.0,0.4203
412,37,3.5,0.4408
413,37,4.0,0.2847
414,37,4.5,0.2988
415,37,5.0,0.2541
416,37,5.5,0.2975
417,37,6.0,0.2057
418,38,1.0,0.7934
419,38,1.5,0.7189
420,38,2.0,0.495
421,38,2.5,0.5311
422,38,3.0,0.6022
423,38,3.5,0.6206
424,38,4.0,0.2745
425,38,4.5,0.4163
426,38,5.0,0.3808
427,38,5.5,0.4252
428,38,6.0,0.2917
429,39,1.0,0.7863
430,39,1.5,0.7442
431,39,2.0,0.4789
432,39,2.5,0.5405
433,39,3.0,0.5271
434,39,3.5,0.4451
435,39,4.0,0.5151
436,39,4.5,0.4285
437,39,5.0,0.4615
438,39,5.5,0.4308
439,39,6.0,0.3671
440,40,1.0,0.824
441,40,1.5,0.7526
442,40,2.0,0.633
443,40,2.5,0.5165
444,40,3.0,0.4856
445,40,3.5,0.3455
446,40,4.0,0.5171
447,40,4.5,0.2667
448,40,5.0,0.3204
449,40,5.5,0.2595
450,40,6.0,0.2585
451,41,1.0,0.7248
452,41,1.5,0.6183
453,41,2.0,0.5343
454,41,2.5,0.4283
455,41,3.0,0.4067
456,41,3.5,0.3601
457,41,4.0,0.3165
458,41,4.5,0.2726
459,41,5.0,0.2566
460,41,5.5,0.2564
461,41,6.0,0.2258
462,42,1.0,0.83
463,42,1.5,0.7719
464,42,2.0,0.7506
465,42,2.5,0.6775
466,42,3.0,0.6533
467,42,3.5,0.609
468,42,4.0,0.5663
469,42,4.5,0.4313
470,42,5.0,0.4243
471,42,5.5,0.3539
472,42,6.0,0.4134
473,43,1.0,0.8158
474,43,1.5,0.6826
475,43,2.0,0.5302
476,43,2.5,0.5298
477,43,3.0,0.5603
478,43,3.5,0.5174
479,43,4.0,0.3677
480,43,4.5,0.2947
481,43,5.0,0.2774
482,43,5.5,0.3207
483,43,6.0,0.2769
484,44,1.0,0.8141
485,44,1.5,0.6583
486,44,2.0,0.6354
487,44,2.5,0.5352
488,44,3.0,0.537
489,44,3.5,0.4869
490,44,4.0,0.4606
491,44,4.5,0.3247
492,44,5.0,0.382
493,44,5.5,0.3177
494,44,6.0,0.2106
495,45,1.0,0.7633
496,45,1.5,0.7793
497,45,2.0,0.7287
498,45,2.5,0.6665
499,45,3.0,0.5372
500,45,3.5,0.441
501,45,4.0,0.3961
502,45,4.5,0.4922
503,45,5.0,0.415
504,45,5.5,0.3577
505,45,6.0,0.3539
506,46,1.0,0.7679
507,46,1.5,0.6284
508,46,2.0,0.3592
509,46,2.5,0.3199
510,46,3.0,0.3343
511,46,3.5,0.198
512,46,4.0,0.2569
513,46,4.5,0.2331
514,46,5.0,0.1675
515,46,5.5,0.1663
516,46,6.0,0.1958
517,47,1.0,0.7636
518,47,1.5,0.5605
519,47,2.0,0.4946
520,47,2.5,0.3631
521,47,3.0,0.3981
522,47,3.5,0.2886
523,47,4.0,0.2489
524,47,4.5,0.2184
525,47,5.0,0.2269
526,47,5.5,0.2163
527,47,6.0,0.2301
528,48,1.0,0.7505
529,48,1.5,0.3763
530,48,2.0,0.3469
531,48,2.5,0.4172
532,48,3.0,0.2332
533,48,3.5,0.1979
534,48,4.0,0.2059
535,48,4.5,0.1649
536,48,5.0,0.1893
537,48,5.5,0.1835
538,48,6.0,0.1633
539,49,1.0,0.7437
540,49,1.5,0.5673
541,49,2.0,0.2813
542,49,2.5,0.2643
543,49,3.0,0.3284
544,49,3.5,0.2449
545,49,4.0,0.2693
546,49,4.5,0.2701
547,49,5.0,0.2171
548,49,5.5,0.225
549,49,6.0,0.2349
